stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
491,5000233,Greeley Bl+Bardu Av,,38.784943,-77.222664,,
496,5000237,Hillside Rd+Sweet Oak Ct,,38.785297,-77.250107,,
504,3000248,Livingston Rd+Elwin Rd,,38.785896,-76.990685,,
505,3000249,Livingston Rd+Elwin Rd,,38.785915,-76.990784,,
508,5000243,Hillside Rd+Weeping Hollow Ln,,38.786022,-77.249023,,
510,5000244,Burke Centre Pkwy+Marshall Pond Rd,,38.786053,-77.294388,,
513,5000246,Burke Centre Pkwy+Schoolhouse Woods Rd,,38.786427,-77.293839,,
514,5000247,Hillside Rd+Selwood Pl,,38.786457,-77.24884,,
517,5000249,Burke Centre Pkwy+Burke Pond Ln,,38.78664,-77.284088,,
518,5000250,Burke Centre Pkwy+Pond Spice Ln,,38.786644,-77.299919,,
520,5000252,Burke Centre Pkwy+Burke Commons Rd,,38.786823,-77.29985,,
522,5000253,Burke Centre Pkwy+Coffer Woods Rd,,38.78714,-77.291138,,
523,5000254,Burke Centre Pkwy+Wheaton Dr,,38.787331,-77.285049,,
525,5000256,Burke Centre Pkwy+Coffer Woods Rd,,38.787281,-77.291451,,
527,5000258,Greeley Bl+Langbrook Rd,,38.787281,-77.223289,,
529,5000259,Greeley Bl+Langbrook Rd,,38.787357,-77.223442,,
533,5000261,Burke Centre Pkwy+Wilmington Dr,,38.787678,-77.288284,,
534,5000262,Burke Centre Pkwy+Wilmington Dr,,38.787876,-77.288155,,
540,5000266,Hillside Rd+Veranda Dr,,38.78812,-77.246872,,
542,5000267,Hillside Rd+Forrest Hollow Ln,,38.788143,-77.246582,,
543,5000268,Burke Centre Pkwy+Martins Landing Ln,,38.788204,-77.303902,,
545,5000269,Burke Centre Pkwy+1 Landing Wy,,38.788403,-77.30381,,
548,5000272,Hillside Rd+Timber Hollow Ln,,38.78878,-77.245041,,
552,5000274,Hillside Rd+Hall St,,38.789032,-77.244576,,
558,5000278,Carrleigh Pkwy+Waterbury Ct,,38.78957,-77.229164,,
559,5000279,Carrleigh Pkwy+Forrester Bl,,38.789623,-77.229279,,
562,5000281,Carrleigh Pkwy+Greeley Bl,,38.789722,-77.225082,,
564,5000283,Carrleigh Pkwy+Talford Ct,,38.78989,-77.227737,,
565,5000284,Carrleigh Pkwy+Talford Ct,,38.789932,-77.227333,,
571,5000289,Forrester Bl+Sherborn Ln,,38.790241,-77.241264,,
574,5000291,Forrester Bl+Seabright Rd,,38.79034,-77.231628,,
575,3000268,Livingston Rd+White Oak Dr,,38.790443,-76.988411,,
577,5000293,Forrester Bl+Sherborn Ln,,38.790596,-77.240959,,
578,5000294,Forrester Bl+Kingsford Rd,,38.7906,-77.23185,,
579,3000269,Livingston Rd+White Oak Dr,,38.79068,-76.988266,,
580,5000295,Burr Oak Wy+Oakland Park Dr,,38.791027,-77.323044,,
